"dates","Country","LogOR_30dayrolling"
2006-01-02,"PT",NA
2006-01-03,"PT",NA
2006-01-04,"PT",NA
2006-01-05,"PT",NA
2006-01-06,"PT",NA
2006-01-09,"PT",NA
2006-01-10,"PT",NA
2006-01-11,"PT",NA
2006-01-12,"PT",NA
2006-01-13,"PT",NA
2006-01-16,"PT",NA
2006-01-17,"PT",NA
2006-01-18,"PT",NA
2006-01-19,"PT",NA
2006-01-20,"PT",NA
2006-01-23,"PT",NA
2006-01-24,"PT",NA
2006-01-25,"PT",NA
2006-01-26,"PT",NA
2006-01-27,"PT",NA
2006-01-30,"PT",NA
2006-01-31,"PT",NA
2006-02-01,"PT",NA
2006-02-02,"PT",NA
2006-02-03,"PT",NA
2006-02-06,"PT",NA
2006-02-07,"PT",NA
2006-02-08,"PT",NA
2006-02-09,"PT",NA
2006-02-10,"PT",NA
2006-02-13,"PT",-2.94590793600345
2006-02-14,"PT",-2.98394665923252
2006-02-15,"PT",-3.13962305810422
2006-02-16,"PT",-2.97652801385059
2006-02-17,"PT",-2.72842415074821
2006-02-20,"PT",-2.4513943756463
2006-02-21,"PT",-2.5939305629029
2006-02-22,"PT",-2.70527942649497
2006-02-23,"PT",-2.51865350021681
2006-02-24,"PT",-2.67173628878141
2006-02-27,"PT",-2.68546371866074
2006-02-28,"PT",-2.90812850987458
2006-03-01,"PT",-2.90982602521702
2006-03-02,"PT",-3.19188267366959
2006-03-03,"PT",-3.25811093448819
2006-03-06,"PT",-3.33700368568015
2006-03-07,"PT",-3.33874612992783
2006-03-08,"PT",-3.33889136985767
2006-03-09,"PT",-3.60946712798325
2006-03-10,"PT",-3.53234723671952
2006-03-13,"PT",-3.11784318819033
2006-03-14,"PT",-2.87363443302562
2006-03-15,"PT",-2.75687612630632
2006-03-16,"PT",-2.84123454281188
2006-03-17,"PT",-3.04292883414113
2006-03-20,"PT",-2.94867188886999
2006-03-21,"PT",-2.98599790086179
2006-03-22,"PT",-2.68803179659868
2006-03-23,"PT",-2.52660145846503
2006-03-24,"PT",-2.80225521652804
2006-03-27,"PT",-3.18601619124324
2006-03-28,"PT",-3.147981664127
2006-03-29,"PT",-3.07089175135559
2006-03-30,"PT",-3.07392056254377
2006-03-31,"PT",-3.40468944686261
2006-04-03,"PT",-3.6979120393976
2006-04-04,"PT",-3.85149549693343
2006-04-05,"PT",-3.53405543174795
2006-04-06,"PT",-3.50235713007267
2006-04-07,"PT",-3.21455437660079
2006-04-10,"PT",-3.26942633997127
2006-04-11,"PT",-3.12482317450019
2006-04-12,"PT",-2.94030682975459
2006-04-13,"PT",-3.05737453975232
2006-04-18,"PT",-3.06447803355375
2006-04-19,"PT",-3.26997673570473
2006-04-20,"PT",-3.19291727885247
2006-04-21,"PT",-3.33345379248143
2006-04-24,"PT",-3.32946651760428
2006-04-25,"PT",-3.42088306031842
2006-04-26,"PT",-3.4843036262848
2006-04-27,"PT",-3.654806504312
2006-04-28,"PT",-3.58535045860455
2006-05-02,"PT",-3.95888123418653
2006-05-03,"PT",-3.96058679713802
2006-05-04,"PT",-3.91823822118122
2006-05-05,"PT",-4.03819522189622
2006-05-08,"PT",-3.82942553451955
2006-05-09,"PT",-3.94268096501381
2006-05-10,"PT",-4.09931555954256
2006-05-11,"PT",-3.80914904076036
2006-05-12,"PT",-3.72647265123699
2006-05-15,"PT",-3.78010668322843
2006-05-16,"PT",-3.77962994892297
2006-05-17,"PT",-3.75426164348907
2006-05-18,"PT",-3.60551474259272
2006-05-19,"PT",-3.79636126280752
2006-05-22,"PT",-3.89692605066239
2006-05-23,"PT",-4.36054523642846
2006-05-24,"PT",-4.7616826030363
2006-05-25,"PT",-4.89554225835359
2006-05-26,"PT",-4.82683237446118
2006-05-29,"PT",-4.84404717875564
2006-05-30,"PT",-4.92257771971031
2006-05-31,"PT",-4.61585791828775
2006-06-01,"PT",-4.47780839206252
2006-06-02,"PT",-4.22345912968782
2006-06-05,"PT",-4.16447076546001
2006-06-06,"PT",-4.16996243700273
2006-06-07,"PT",-4.20198929720693
2006-06-08,"PT",-3.92899811200083
2006-06-09,"PT",-3.88004098053898
2006-06-12,"PT",-3.90785070785471
2006-06-13,"PT",-3.82436358667828
2006-06-14,"PT",-3.46081163644039
2006-06-15,"PT",-3.37447618711966
2006-06-16,"PT",-3.37701588298273
2006-06-19,"PT",-3.32458836596994
2006-06-20,"PT",-3.65280710994195
2006-06-21,"PT",-3.68641161215294
2006-06-22,"PT",-3.51912058583112
2006-06-23,"PT",-3.46205843722337
2006-06-26,"PT",-3.33836684208169
2006-06-27,"PT",-3.29733838987472
2006-06-28,"PT",-3.33307306237496
2006-06-29,"PT",-3.16874493285687
2006-06-30,"PT",-3.13760664514853
2006-07-03,"PT",-2.93661992866299
2006-07-04,"PT",-3.03124900976058
2006-07-05,"PT",-2.90820474014786
2006-07-06,"PT",-2.72609444473209
2006-07-07,"PT",-2.90731352231786
2006-07-10,"PT",-2.81102784918225
2006-07-11,"PT",-2.76657830642707
2006-07-12,"PT",-2.8270020218454
2006-07-13,"PT",-3.15449180320387
2006-07-14,"PT",-3.17024214256336
2006-07-17,"PT",-3.16460214811457
2006-07-18,"PT",-3.1405457410347
2006-07-19,"PT",-3.08381173013229
2006-07-20,"PT",-3.10019636396407
2006-07-21,"PT",-3.06288006329504
2006-07-24,"PT",-2.96685977985425
2006-07-25,"PT",-3.100389403305
2006-07-26,"PT",-3.37264352633165
2006-07-27,"PT",-3.50509158361064
2006-07-28,"PT",-3.71736497152201
2006-07-31,"PT",-3.71896044007105
2006-08-01,"PT",-3.82830513827887
2006-08-02,"PT",-3.69758616235571
2006-08-03,"PT",-3.73789352435521
2006-08-04,"PT",-3.94558166863047
2006-08-07,"PT",-3.87006951413409
2006-08-08,"PT",-3.71495519203274
2006-08-09,"PT",-3.68299544023412
2006-08-10,"PT",-3.63529568355398
2006-08-11,"PT",-3.83092373730229
2006-08-14,"PT",-3.88822957030843
2006-08-15,"PT",-3.65157822393174
2006-08-16,"PT",-3.36835633500513
2006-08-17,"PT",-3.03601162169411
2006-08-18,"PT",-3.0634870838943
2006-08-21,"PT",-2.88106499698615
2006-08-22,"PT",-3.01460700340915
2006-08-23,"PT",-3.02514945352634
2006-08-24,"PT",-3.06824429509287
2006-08-25,"PT",-2.9522192669816
2006-08-28,"PT",-2.93906469112996
2006-08-29,"PT",-2.87331665619855
2006-08-30,"PT",-2.78661430338321
2006-08-31,"PT",-2.70939754542967
2006-09-01,"PT",-2.86175450715445
2006-09-04,"PT",-3.08509160379344
2006-09-05,"PT",-3.04532067951018
2006-09-06,"PT",-2.84802104147129
2006-09-07,"PT",-3.00150292484512
2006-09-08,"PT",-3.13642072759174
2006-09-11,"PT",-2.82826219481219
2006-09-12,"PT",-2.66066814285919
2006-09-13,"PT",-2.49771839986016
2006-09-14,"PT",-2.37261060864062
2006-09-15,"PT",-2.39537045599078
2006-09-18,"PT",-2.29168868625075
2006-09-19,"PT",-2.54534605380968
2006-09-20,"PT",-2.69276135671909
2006-09-21,"PT",-2.72744950470967
2006-09-22,"PT",-2.93329100107704
2006-09-25,"PT",-2.60089303189077
2006-09-26,"PT",-2.4515377098869
2006-09-27,"PT",-2.60202133098345
2006-09-28,"PT",-2.64811878834351
